product,category,triage,ar1_mean,reason,key_lenses,unresolved
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,probably noise,-0.0167,"AR(1)=-0.017 (mean), no within-cat corr (mean 0.004), no sum constraint","NB03,NB06",None
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,probably noise,-0.0115,"AR(1)=-0.012, spread unstable (NB02 cell 4), no structure across lenses","NB03,NB06",None
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,probably noise,-0.0032,"AR(1)=-0.003, all lenses return noise; spread unstable day-over-day","NB02,NB03,NB06",None
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,probably noise,-0.012,"AR(1)=-0.012, feature R2=0.089 (NB07), no exploitable structure","NB07,NB06",None
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,probably noise,-0.0073,"AR(1)=-0.007, near-zero within-cat return corr (mean 0.004), no structure","NB06,NB05",None
MICROCHIP_CIRCLE,MICROCHIP,probably noise,-0.0052,"No sum constraint (5-sum CV=3.04%), all pairwise corr<0.013; independent RW (CC9)","CC9,NB09,NB04",Trade-schedule anomaly (569 vs 733) unexplained mechanically
MICROCHIP_OVAL,MICROCHIP,probably noise,-0.0073,Largest drift (day-means 9766->8544->6229) but no cross-product structure; trending RW,"NB08,CC9",Strong downward trend; no basket or AR(1) signal
MICROCHIP_RECTANGLE,MICROCHIP,probably noise,-0.0026,"AR(1)=-0.003, no structure beyond baseline; independent RW confirmed (CC9)","CC9,NB06",None
MICROCHIP_SQUARE,MICROCHIP,probably noise,-0.0221,Distributional outlier (mean 13595 vs siblings 8180-9686) but AR(1)=-0.022; RW,"NB01,CC9",Price level far above siblings; idiosyncratic but no exploitable signal
MICROCHIP_TRIANGLE,MICROCHIP,probably noise,-0.0078,"AR(1)=-0.008, no sum constraint, no pairwise corr; 5 independent RWs confirmed (CC9)","CC9,NB03",None
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,probably tradable,-0.076,"Jump-diffusion: sq_acf_lag1=0.239, kurtosis=10.77, 38-44% zero-return ticks (NB08); AR(1)=-0.076","NB08,NB09",Jump origin not verified; vol clustering is jump-diffusion not GARCH
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,probably tradable,-0.1118,"Step-function (+-10 grid, 39% zero-ret), AR(1)=-0.112; reversal_frac=54% (>50% baseline)","NB09,CA_B2,CB3",Reversal 54% (not 100% as Critic B claimed); weak MR above bounce confirmed
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,probably noise,-0.0031,"AR(1)=-0.003, no structure; spread unstable day-to-day (NB02 cell 4)","NB02,NB03",None
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,probably noise,-0.0031,No anomaly across any lens; AR(1) near zero; typical random walk,"NB03,NB06",None
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,probably noise,-0.0053,"AR(1)=-0.005, no structure detected; near-baseline across all lenses","NB03,NB06",None
PANEL_1X2,PANEL,probably noise,-0.0023,Trend R2=0.766 (highest among PANEL) but AR(1)=-0.002; trend without AR(1) not tick-exploitable,"NB03,CA_B3",D4: trend R2 IS significant above null (p=0.0067) but no AR(1) or corr structure
PANEL_1X4,PANEL,probably noise,-0.0015,"Trend R2=0.487, AR(1) near zero; area encoding unstable (NB07 rank rho=0.467)","NB03,NB07,CA_B3",None
PANEL_2X2,PANEL,probably noise,-0.0098,"No AR(1), no feature signal, no cointegration with any sibling","NB03,NB07",None
PANEL_2X4,PANEL,probably noise,-0.0017,"Trend R2=0.622, AR(1)=-0.002; trending RW only, not tick-exploitable","NB03,CA_B3",None
PANEL_4X4,PANEL,probably noise,-0.0062,"Weakest trend (R2=0.231), area encoding violated (cheapest despite largest area, NB07)","NB07,NB03",None
